Brain-Stem,Thalamus,Cerebellum-Cortex,Cerebral-White-Matter,Cerebellum-White-Matter,Putamen,VentralDC,Pallidum,Caudate,Lateral-Ventricle,Hippocampus,3rd-Ventricle,4th-Ventricle,Amygdala,Cerebral-Cortex,CSF,choroid-plexus
0.6879961078650079,0.8364798371343283,0.7988438880464042,0.836881277423558,0.7779279937271408,0.631108857004414,0.8308349049086124,0.5946964748293275,0.8374595002304046,0.8612144884270891,0.7901044629048668,0.8423502011566312,0.8101545241088702,0.799874377114917,0.7286884488565287,0.7037475317406409,0.3481999213385737
0.8854670718487764,0.8623101771911019,0.8681773976931173,0.8215974950939715,0.8092622622762147,0.6798926947073646,0.8292469708930414,0.6873767542938956,0.8386917772547489,0.8273605797055004,0.8227511025987353,0.8242760776506304,0.7215686258789354,0.7882789296093857,0.7252426252591628,0.6770833298068577,0.4012949218619726
0.8467035355672181,0.8639562710400623,0.8090560883293012,0.8156471890228387,0.797723102605519,0.6033952249039221,0.7905640601275377,0.5848646315876729,0.776017998069466,0.8220511078333499,0.7848904758319819,0.6982942393481117,0.8217999268164218,0.7357636712717046,0.7196845086724484,0.6262249154165892,0.25153210053813146
0.8432216464174332,0.8599114979925431,0.8114085150704589,0.776001841129057,0.7746052922631738,0.6804693314864523,0.795914555483845,0.6727110539451855,0.6924562207440499,0.9150344032502356,0.7916356801528219,0.8421052609852805,0.8141646476783223,0.732358495060599,0.6282225875438211,0.7547027812087931,0.4976478413195614
0.88290576567137,0.8636144341342457,0.8632215243971424,0.8421210598461463,0.8263847914389264,0.7159103092667294,0.8348595400286005,0.7111759507237361,0.8184644108846338,0.6925475672656205,0.8211618593495495,0.6810948397129546,0.7280621555574448,0.8117862450212889,0.7234041691657983,0.6851549727359095,0.19190302487805247
0.8527743383263592,0.8579894832227098,0.8502522819263645,0.8222476750430179,0.7785768183702491,0.6501968030790466,0.8080513848779336,0.7108251255060517,0.765715646272934,0.7923481446096531,0.7953146359830621,0.7105538102896876,0.7538032981491252,0.7993583625732628,0.7045933375445089,0.6898811934048291,0.177084182141527
0.7465500484699465,0.8597171513737885,0.7481936827901775,0.8149395112145559,0.7712424878395303,0.6387327187768622,0.796431836498424,0.7299188799441222,0.7978500464122769,0.81161955400577,0.7837607428051933,0.672089472943114,0.7230667531987954,0.8013698181119979,0.7080676041302116,0.6023271711077098,0.21317943953128018
0.874888365495882,0.8601198153378382,0.8634532929118743,0.8368041199324693,0.8285826124206708,0.6843212046653089,0.8302753163462211,0.7158028916666962,0.8206185667937758,0.83165808324753,0.8226265058786191,0.8031278711907641,0.784457141064098,0.8353366596140015,0.7333886915505956,0.7440039121683607,0.5042715946987477
0.8815835864270942,0.8517245486957304,0.8489775020015944,0.8162294179807588,0.8245552653402737,0.738998145310225,0.8302972202234467,0.7197260669648763,0.8680878875968753,0.864763386445619,0.8111416461032702,0.7832225881095407,0.7770910573195488,0.7861851425029553,0.641796844996845,0.7108433704352695,0.48067010027954316
0.849895976148334,0.8736720029290457,0.8019304665942758,0.8164748947457388,0.7377669274579457,0.579332098108742,0.7767506468714536,0.6565927040627215,0.7181701755291785,0.7556299449448483,0.7956068596748493,0.6293169560298008,0.7051194515183636,0.8007871742077906,0.7243815363638154,0.6294820681304378,0.16351007986684896
